year,value,kind,reg,slope
1740,384396676.0,total,327024841.9233249,1.7
1740,208817046.0,exports,190818152.34588882,1.3
1740,175579630.0,imports,137902102.56928432,2.2
1741,407540519.0,total,332779799.05696535,1.7
1741,218253022.0,exports,193395600.02174792,1.3
1741,189287497.0,imports,140913610.98081738,2.2
1742,387544851.0,total,338636031.4680902,1.7
1742,211685144.0,exports,196007862.18690088,1.3
1742,175859707.0,imports,143990884.76317233,2.2
1743,412443944.0,total,344595321.3909699,1.7
1743,222226439.0,exports,198655409.0928583,1.3
1743,190217505.0,imports,147135360.10161301,2.2
1744,308922825.0,total,350659482.4234919,1.7
1744,166992644.0,exports,201338717.34298274,1.3
1744,141930181.0,imports,150348504.544841,2.2
1745,327142936.0,total,356830360.07909495,1.7
1745,184123776.0,exports,204058269.97828755,1.3
1745,143019160.0,imports,153631817.68990755,2.2
1746,298944419.0,total,363109832.34841627,1.7
1746,176794821.0,exports,206814556.5643883,1.3
1746,122149598.0,imports,156986831.88209265,2.2
1747,316804251.0,total,369499810.27082276,1.7
1747,182581256.0,exports,209608073.2796349,1.3
1747,134222995.0,imports,160415112.9300568,2.2
1748,315987428.0,total,376002238.51600015,1.7
1748,179893195.0,exports,212439323.00443435,1.3
1748,136094233.0,imports,163918260.83661735,2.2
1749,468452512.0,total,382619095.97577626,1.7
1749,253444551.0,exports,215308815.41177344,1.3
1749,215007961.0,imports,167497910.54547632,2.2
1750,463536371.0,total,389352396.3663599,1.7
1750,251200328.0,exports,218217067.0589706,1.3
1750,212336043.0,imports,171155732.7042669,2.2
1751,469970354.0,total,396204188.84117734,1.7
1751,257978434.0,exports,221164601.48066735,1.3
1751,211991920.0,imports,174893434.44425333,2.2
1752,549413978.0,total,403176558.61449385,1.7
1752,295042717.0,exports,224151949.2830688,1.3
1752,254371261.0,imports,178712760.17705697,2.2
1753,534618816.0,total,410271627.5960091,1.7
1753,291953030.0,exports,227179648.2394641,1.3
1753,242665786.0,imports,182615492.408793,2.2
1754,545930841.0,total,417491555.0366209,1.7
1754,298063065.0,exports,230248243.38703716,1.3
1754,247867776.0,imports,186603452.57197353,2.2
1755,516686816.0,total,424838538.1855524,1.7
1755,263394337.0,exports,233358287.12497768,1.3
1755,253292479.0,imports,190678501.87558562,2.2
1756,414468810.0,total,432314812.9590438,1.7
1756,240806046.0,exports,236510339.31392494,1.3
1756,173662764.0,imports,194842542.173725,2.2
1757,336114567.33668804,total,439922654.62081105,1.7
1757,188988100.0,exports,239704967.3767546,1.3
1757,147126467.336688,imports,199097516.85321298,2.2
1758,292066751.0,total,447664378.4744799,1.7
1758,166318424.0,exports,242942746.40071952,1.3
1758,125748327.0,imports,203445411.7405846,2.2
1759,319997399.0,total,455542340.5682052,1.7
1759,188746632.0,exports,246224259.2409776,1.3
1759,131250767.0,imports,207888256.02888364,2.2
1760,296731490.0,total,463558938.4116894,1.7
1760,178680655.0,exports,249550096.62551835,1.3
1760,118050835.0,imports,212428123.22470948,2.2
1761,312605172.0132,total,471716611.70581996,1.7
1761,178634644.0,exports,252920857.26149872,1.3
1761,133970528.0132,imports,217067132.1159319,2.2
1762,337879819.8053212,total,480017843.0851463,1.7
1762,197682442.0,exports,256337147.94302297,1.3
1762,140197377.8053212,imports,221807447.7605469,2.2
1763,443749985.0,total,488465158.873423,1.7
1763,258927696.0,exports,259799583.66037887,1.3
1763,184822289.0,imports,226651282.49711835,2.2
1764,559320407.0,total,497061129.85244894,1.7
1764,326396895.0,exports,263308787.71074083,1.3
1764,232923512.0,imports,231600896.97730124,2.2
1765,538779126.0,total,505808372.0444365,1.7
1765,318656887.0,exports,266865391.81037667,1.3
1765,220122239.0,imports,236658601.2208991,2.2
1766,506398317.0,total,514709547.50814855,1.7
1766,294308117.0,exports,270470036.2083701,1.3
1766,212090200.0,imports,241826755.6939614,2.2
1767,524945367.0,total,523767365.14904636,1.7
1767,287005732.0,exports,274123369.8018698,1.3
1767,237939635.0,imports,247107772.4104395,2.2
1768,523872469.0,total,532984581.5436917,1.7
1768,292794108.0,exports,277826050.2529097,1.3
1768,231078361.0,imports,252504116.0578839,2.2
1769,567606386.0,total,542364001.7786671,1.7
1769,277236636.0,exports,281578744.1067924,1.3
1769,290369750.0,imports,258018305.14773467,2.2
1770,636941206.0,total,551908480.3042397,1.7
1770,298206118.0,exports,285382126.9120814,1.3
1770,338735088.0,imports,263652913.19072118,2.2
1771,676523937.0,total,561620921.8030672,1.7
1771,339829095.0,exports,289236883.34221464,1.3
1771,336694842.0,imports,269410569.89794844,2.2
1772,619895540.0,total,571504282.0741812,1.7
1772,319645666.0,exports,293143707.31875116,1.3
1772,300249874.0,imports,275293962.40819645,2.2
1773,664723255.0,total,581561568.9325296,1.7
1773,333708654.0,exports,297103302.1362917,1.3
1773,331014601.0,imports,281305836.54202074,2.2
1774,614531290.0,total,591795843.124348,1.7
1774,318928625.0,exports,301116380.5890867,1.3
1774,295602665.0,imports,287448998.0832578,2.2
1775,625103158.0,total,602210219.2586412,1.7
1775,332042914.0,exports,305183665.09934556,1.3
1775,293060244.0,imports,293726314.0884961,2.2
1776,701118094.0,total,612807866.7550547,1.7
1776,330190114.0,exports,309305887.8472875,1.3
1776,370927980.0,imports,300140714.22515595,2.2
1777,723091293.0,total,623592010.8084288,1.7
1777,367371947.0,exports,313483790.9029498,1.3
1777,355719346.0,imports,306695192.1387771,2.2
1778,630459588.0,total,634565933.3703259,1.7
1778,276584233.0,exports,317718126.3597669,1.3
1778,353875355.0,imports,313392806.8501867,2.2
1779,443128410.0,total,645732974.1478306,1.7
1779,234966527.0,exports,322009656.46996254,1.3
1779,208161883.0,imports,320236684.18316,2.2
1780,452003430.0,total,657096531.619927,1.7
1780,235827981.0,exports,326359153.7817721,1.3
1780,216175449.0,imports,327230018.22325695,2.2
1781,532439048.0,total,668660064.071762,1.7
1781,265521091.0,exports,330767401.27850723,1.3
1781,266917957.0,imports,334376072.8085379,2.2
1782,777148000.0,total,680427090.6471086,1.7
1782,346350000.0,exports,335235192.51950973,1.3
1782,430798000.0,imports,341678183.0528109,2.2
1783,,total,692401192.4193524,1.7
1783,,exports,339763331.78300905,1.3
1783,,imports,349139756.90215737,2.2
1784,,total,704586013.481323,1.7
1784,,exports,344352634.2108991,1.3
1784,,imports,356764276.7254344,2.2
1785,,total,716985262.0543057,1.7
1785,,exports,349003925.9554812,1.3
1785,,imports,364555300.9395358,2.2
1786,,total,729602711.6165686,1.7
1786,,exports,353718044.3281889,1.3
1786,,imports,372516465.67012274,2.2
1787,,total,742442202.05175,1.7
1787,,exports,358495837.9503112,1.3
1787,,imports,380651486.4486212,2.2
1788,1003944792.0,total,755507640.8174547,1.7
1788,466385300.0,exports,363338166.9057624,1.3
1788,537559492.0,imports,388964159.94630235,2.2
1789,1077672000.0,total,768803004.1344156,1.7
1789,441148000.0,exports,368245902.89591527,1.3
1789,636524000.0,imports,397458365.746205,2.2
